text,song
"Pain and pleasure, Oooh, oooh, pain and pleasure",Pain Is So Close To Pleasure
When your plans go wrong and you turn out the light,Pain Is So Close To Pleasure
But inside of your mind you have to put up a fight,Pain Is So Close To Pleasure
Where are the answers that we're all searching for,Pain Is So Close To Pleasure
There's nothing in this world to be sure of anymore,Pain Is So Close To Pleasure
Some days you're feeling good some days you're feeling bad,Pain Is So Close To Pleasure
But if you're feeling happy someone else is always sad,Pain Is So Close To Pleasure
Let the sweetness of love wipe the tears from your face,Pain Is So Close To Pleasure
For better for worse so let's make the best of the rest of our years,Pain Is So Close To Pleasure
Oooh oooh pain is so close to pleasure I told you so,Pain Is So Close To Pleasure
Sunshine and rainy weather go hand in hand together all your life,Pain Is So Close To Pleasure
"Pain and pleasure, Oooh, oooh, pain is so close to pleasure, yeah, yeah",Pain Is So Close To Pleasure
Sunshine and rainy weather go hand in hand together all your life,Pain Is So Close To Pleasure
All your life,Pain Is So Close To Pleasure
Pain - pleasure .,Pain Is So Close To Pleasure
"Empty spaces, what are we living for",Show must go on
"Abandoned places, I guess we know the score",Show must go on
"On and on, does anybody know what we are looking for",Show must go on
"Another hero, another mindless crime",Show must go on
"Behind the curtain, in the pantomime",Show must go on
"Hold the line, does anybody want to take it anymore",Show must go on
The show must go on,Show must go on
"The show must go on, yeah",Show must go on
Inside my heart is breaking,Show must go on
My make-up may be flaking,Show must go on
But my smile still stays on,Show must go on
"Whatever happens, I'll leave it all to chance",Show must go on
"Another heartache, another failed romance",Show must go on
"On and on, does anybody know what we are living for?",Show must go on
I guess I'm learning (I'm learning learning learning),Show must go on
I must be warmer now,Show must go on
I'll soon be turning (turning turning turning),Show must go on
Round the corner now,Show must go on
Outside the dawn is breaking,Show must go on
But inside in the dark I'm aching to be free,Show must go on
The show must go on,Show must go on
"The show must go on, yeah yeah",Show must go on
"Ooh, inside my heart is breaking",Show must go on
My make-up may be flaking,Show must go on
But my smile still stays on,Show must go on
"Yeah yeah, whoa wo oh oh",Show must go on
My soul is painted like the wings of butterflies,Show must go on
Fairy tales of yesterday will grow but never die,Show must go on
"I can fly, my friends",Show must go on
"The show must go on (go on, go on, go on) yeah yeah",Show must go on
"The show must go on (go on, go on, go on)",Show must go on
I'll face it with a grin,Show must go on
I'm never giving in,Show must go on
"On, with the show",Show must go on
"Ooh, I'll top the bill, I'll overkill",Show must go on
I have to find the will to carry on,Show must go on
On with the show,Show must go on
On with the show,Show must go on
"The show, the show must go on",Show must go on
"Go on, go on, go on, go on, go on",Show must go on
"Go on, go on, go on, go on, go on",Show must go on
"Go on, go on, go on, go on, go on",Show must go on
"Go on, go on, go on, go on, go on",Show must go on
"Go on, go on",Show must go on
"There's no living in my life anymore, the seas have gone dry",Nevermore
"And the rain's stopped falling,",Nevermore
please don't you cry any more,Nevermore
"Can't you see, listen to the breeze, whisper to me please",Nevermore
Don't send me to the path of nevermore,Nevermore
"Even the valley's below, where the rays of the sun",Nevermore
"Were so warm and tender, Now haven't anything to grow",Nevermore
Can't you see?,Nevermore
Why did you have to leave me? (nevermore),Nevermore
Why did you deceive me? (nevermore),Nevermore
You sent me to the path of nevermore,Nevermore
When you say you didn't love me anymore,Nevermore
Ah ah nevermore nevermore,Nevermore
I believe there's no evil out there we didn't have a hand in,We Believe
You believe it's a time for peace and a time for understanding,We Believe
Some of us believe that we are chosen,We Believe
And if God is on our side we'll win the game,We Believe
And some of us believe that there's a heaven,We Believe
When the trumpets sound and the judges call your name,We Believe
But let's get it straight:,We Believe
I believe there's just once chance in this world to hear our brothers,We Believe
You believe there's a better way to listen to each other,We Believe
We don't get what the other guy is saying,We Believe
We hear the words but we don't understand,We Believe
So around the world the same old anger raging,We Believe
And we all cry for shame and the same old tragedy goes down,We Believe
We believe there's a better way to fight,We Believe
There's a way to make our children safe at night,We Believe
We believe there's a war we could be winning,We Believe
But the only way to win it is to give what we need to receive,We Believe
I believe we need a hero to step boldly from the shadows,We Believe
You believe there must be someone on the scene that fits the bill,We Believe
A man or a woman who knows how to say I'm sorry,We Believe
With courage in his heart to match his creed,We Believe
A leader who can build a brand new morning,We Believe
And match the tide of changes,We Believe
Match the intent with the deed,We Believe
We believe there's a deed of obligation,We Believe
To bring reconciliation,We Believe
To make peace with every nation - in our time,We Believe
We believe there's not a minute we should be wasting,We Believe
When the darkness falls it's too late to fix the crime,We Believe
It's peace that we need,We Believe
Every father every mother knows the meaning,We Believe
Human treasure that our leaders do forget,We Believe
And the bullets fly in the face of common reason,We Believe
And the pain we give is the legacy in the end we get,We Believe
We believe there's a song that's worth the singing,We Believe
It's a song of truth we're bringing,We Believe
There's a way to share the Earth with everyone,We Believe
We believe every creature has a being,We Believe
Has a right to respect and feeling,We Believe
To live and breathe and flourish in the sun,We Believe
That's what we believe,We Believe
"Give me, body, give me, body, body",Body Language
"Give me, your body",Body Language
"Don't talk, don't talk, don't talk, don't talk",Body Language
"Baby, don't talk",Body Language
"Body language, body language, body language",Body Language
"Give me your body, Just give me, yeah, your body",Body Language
"Give me, yeah, your body",Body Language
Don't talk,Body Language
"Body language, huh, huh",Body Language
"Body language, body language",Body Language
"You got red lips, snakes in your eyes",Body Language
"Long legs, great thighs",Body Language
You got the cutest ass I've ever seen,Body Language
Knock me down for a six any time,Body Language
"Look at me, I gotta case of body language",Body Language
"Look at me, I gotta case of body language",Body Language
"Look at me, I gotta case of body language",Body Language
"Look at me, I gotta case of body language",Body Language
"Of body language, of body language",Body Language
"Yeah, sexy, body, sexy, sexy body",Body Language
"I want your body, Baby you're hot",Body Language
"Body language, body language, body language",Body Language
"Body language, body language, body language",Body Language
"Body language, body language, body language",Body Language
"Oh oh people of the earth, listen to the warning the seer he said",The Prophet's Song
"Beware the storm that gathers here, listen to the wise man",The Prophet's Song
"I dreamed I saw on a moonlit stair, spreading his hand to the multitude there",The Prophet's Song
"A man who cried for a love gone stale, and ice cold hearts of charity bare",The Prophet's Song
"I watched as fear took the old man's gaze, hopes of the young in troubled graves",The Prophet's Song
"'I see no day' I heard him say, so grey is the face of every mortal",The Prophet's Song
Oh oh people of the earth! 'Listen to the warning' the prophet he said,The Prophet's Song
"For soon the cold of night will fall, Summoned by your own hand",The Prophet's Song
"Ah ah children of the land, quicken to the new life take my hand",The Prophet's Song
"Fly and find the new green bough, return like the white dove",The Prophet's Song
"He told of death as a bone white haze, taking the lost and the unloved babes",The Prophet's Song
"Late too late all the wretches run, these kings of beasts now counting their days",The Prophet's Song
"From mother's love is the son estranged, married his own his precious gain",The Prophet's Song
"The earth will shake in two will break, and death all round will be your dowry",The Prophet's Song
"Oh oh people of the earth, listen to the warning the seer he said",The Prophet's Song
"For those who hear and mark my words, Listen to the good plan",The Prophet's Song
"Oh oh oh oh, and two by two, my human zoo, (they'll be)",The Prophet's Song
"Running for to come, running for to come, out of the rain",The Prophet's Song
"Oh flee for your lives who heed me not, let all your treasures make",The Prophet's Song
"Oh you fear for your life, deceive you not the fires of hell will take you",The Prophet's Song
Should death await you...,The Prophet's Song
Ah people can you hear me?,The Prophet's Song
"And now I know, and now I know",The Prophet's Song
"And now I know, and now I know",The Prophet's Song
That you can hear me,The Prophet's Song
And now I know and now I know,The Prophet's Song
And now I know now I know,The Prophet's Song
"Now I know, now I know",The Prophet's Song
"Now I know, now I know",The Prophet's Song
Now I know,The Prophet's Song
"The earth will shake, in two will break",The Prophet's Song
"Death all around, around, around, around",The Prophet's Song
"Around, around, around, around",The Prophet's Song
"Now I know, now I know",The Prophet's Song
"Now I know, now I know",The Prophet's Song
"Now I know, now I know",The Prophet's Song
"Now I know, now I know",The Prophet's Song
"Now I know, now I know",The Prophet's Song
Now I know,The Prophet's Song
"Wo, wo, wo, wo, wo, wo, wo, wo, wo",The Prophet's Song
"Listen to the wise, listen to the wise, listen to the wise",The Prophet's Song
"Listen to the wise, listen to the wise, man",The Prophet's Song
"La, la",The Prophet's Song
"La, la, la, la, la, la",The Prophet's Song
"La, la, la, la, la, la",The Prophet's Song
"La, la, la, la, la, la",The Prophet's Song
"La, la, la, la, la, la",The Prophet's Song
"La, la, la, la, la, la",The Prophet's Song
"La, la, la, la, la, la",The Prophet's Song
"La, la",The Prophet's Song
"La, la",The Prophet's Song
"La, la",The Prophet's Song
"Come here, I hear you",The Prophet's Song
"Come here, I hear you",The Prophet's Song
"Come here, I hear you",The Prophet's Song
"Ah, ah, ah, ah, ah",The Prophet's Song
"Ah, ah, ah, ah, ah",The Prophet's Song
"Listen to the man, listen to the man, listen to the man, listen to the mad man",The Prophet's Song
God gave you grace to purge this place,The Prophet's Song
And peace all around may be your fortune,The Prophet's Song
"Oh oh children of the land, love is still the answer take my hand",The Prophet's Song
"The vision fades a voice I hear, listen to the madman!",The Prophet's Song
